Random Variable Tables
              X              Y              Z
------------------------------------------------------------
        0.13453      0.0505313       0.111026
      -0.146382      -0.293951       -0.32776
        0.46065      -0.730551      -0.402351
       -1.87138         1.1321      0.0447375
       0.163712      -0.393573      -0.258989
      -0.214253      -0.701741      -0.714852
       0.298595      -0.441037      -0.232651
      -0.827944       0.568603      0.0784521
      0.0102154      -0.113014     -0.0927651
        1.05547    0.000447696       0.528121
      -0.546841       -0.23439      -0.476408
        1.17457      -0.816183      -0.119551
       0.660682        1.33834        1.48938
       -1.04944      -0.880084        -1.2869
        1.48596      0.0238353       0.763624
      -0.625276      -0.747356      -0.959868
       -2.55912        1.75569       0.240909
      -0.829081      -0.703211       -1.02354
      -0.539781      -0.592084       -0.78265
      -0.888707       -1.47934        -1.7255
      -0.628956       0.193023      -0.147316
        1.01922      -0.104689       0.418948
       0.339587        2.35858        2.21238
      -0.482589      -0.584238      -0.747259
        2.10886        2.83542        3.50997
      -0.121306       -2.26491       -2.02212
      -0.287389      -0.770908       -0.81132
      -0.371003       -1.17708       -1.20489
       -1.05935        2.56777        1.69408
       -2.30144      0.0631497       -1.09603
        1.45502       0.763801        1.38898
     -0.0615274      -0.827822      -0.747679
       0.925328       -1.17758      -0.557148
        1.35433       -1.14972      -0.318519
        1.51561      0.0476455       0.799067
      -0.243275       0.620899       0.416077
        1.00886       -1.23425      -0.564456
       0.197497        0.98074       0.948094
       0.438945      -0.922346      -0.579303
       0.439499        0.61932       0.756097
      -0.128149       0.685395       0.529495
       0.645743      -0.122258       0.216993
        1.77643       0.379197        1.21661
       -1.68599      -0.947542       -1.66359
       0.469861       -2.58622        -2.0048
      -0.613857       -1.11819       -1.27531
       0.668493      0.0379023       0.367071
      -0.582398       -1.63714         -1.709
       0.149386       0.814239       0.779845
      -0.103692        1.48602        1.23509
        1.53727      -0.409123       0.414327
       0.624049       -1.23476      -0.757308
        1.07825       0.702159        1.14721
        1.17067      -0.435955       0.207786
        1.17196       0.221592       0.777886
       -2.05006       0.772662      -0.355884
       0.136395      0.0629221        0.12269
       -1.45473       -1.33679       -1.88506
       -1.71463      -0.467678       -1.26233
       -1.11552        1.07924       0.376892
       -1.73985      -0.579663       -1.37193
        1.12422       0.886887        1.33018
       -1.58694     -0.0285545      -0.818199
       -1.47975       -1.29847       -1.86439
      -0.727862        0.34805     -0.0625113
        1.48247      -0.291079       0.489153
        -0.1128       0.492484       0.370104
       0.754843       -1.25291      -0.707627
       0.326633      -0.268436     -0.0691564
       0.984235       0.943752        1.30943
     -0.0764704      0.0593377      0.0131528
       -1.03745       0.437742      -0.139628
       0.389231       -1.00421      -0.675053
       -2.08402       0.267865      -0.810034
       0.455092        1.67491        1.67806
       0.243215        2.05674         1.9028
        2.91628      -0.726209       0.829226
       0.275194      -0.362788      -0.176587
       -3.20464      -0.875982       -2.36094
       0.272422       0.809637       0.837378
       -2.09501      -0.449473       -1.43676
        1.86225       0.461384        1.33069
       0.310367       0.722712        0.78107
        1.05544      -0.354654       0.220579
       0.404831        1.17073         1.2163
    -0.00122802       0.852314       0.737512
        1.41863        2.13975        2.56239
       -1.08115      -0.692884       -1.14063
       0.926096      -0.239757       0.255412
      -0.400148        3.34928        2.70049
       0.126072        -1.2033      -0.979053
      -0.358203      -0.799365      -0.871372
      -0.569566      -0.640274      -0.839277
       0.387892       -0.52173      -0.257885
       0.882249        1.54968        1.78319
      -0.634654       0.655552       0.250398
       0.204175       0.371682       0.423974
      -0.677104       0.677434       0.248123
         -2.453      -0.131305       -1.34022
        1.35715       -1.58272      -0.692107
      -0.379922      -0.613299      -0.721093
      -0.315325       0.224898      0.0371048
        1.35717        0.14908       0.807691
      -0.608541     -0.0081768      -0.311352
        1.32359       0.937905        1.47405
      0.0195746      0.0753673      0.0750573
      -0.208138      -0.683983      -0.696415
     -0.0912438       0.630095       0.500056
       0.281664      -0.235396     -0.0630268
       -1.61209       0.765506      -0.143096
      -0.316253      -0.446957      -0.545203
       0.785215       0.897751        1.17008
      -0.271609        1.17484       0.881637
       0.353801       -1.27854      -0.930346
     -0.0590157      -0.572371      -0.525196
       -1.77443       0.110111      -0.791854
     -0.0539041     -0.0479286     -0.0684595
       -1.53723        1.56879       0.589995
       0.129153       -2.74776       -2.31505
       0.386642      -0.458104      -0.203409
      -0.388037        1.35409       0.978659
        1.54308      -0.515632       0.324989
      -0.644921      -0.629265       -0.86742
      0.0763218       0.197834        0.20949
      -0.900313       0.483006      -0.031861
       -1.68173        2.22731        1.08804
      -0.587587       -1.02637       -1.18266
      -0.383684       -1.19772        -1.2291
       -2.37398         1.7825       0.356703
      -0.130386       0.127444      0.0451764
      -0.981124      -0.774486       -1.16129
        1.01014       -1.17528      -0.512755
        1.17503       0.823291        1.30051
       0.465062        1.11866        1.20132
      -0.944311      -0.540678      -0.940396
       -1.54914       0.232714      -0.573035
        1.06121         1.8626        2.14367
      -0.524505      -0.386004      -0.596542
       -1.08715       -1.70498       -2.02013
        1.52626       0.193769       0.930939
        -1.8694       -1.09847         -1.886
      -0.395067     -0.0494642      -0.240371
     -0.0245811       0.920589       0.784962
       0.886654      -0.948904      -0.378448
       -0.43059      -0.757891      -0.871648
       0.281015       -2.52527       -2.04644
        0.98182       0.145231       0.616683
      -0.282224      -0.567621      -0.632686
       0.680064       0.920078        1.13684
      -0.226851      -0.021339      -0.131906
        -1.1258       0.988638       0.293288
       0.137044      -0.668544      -0.510454
     -0.0395065      -0.280452      -0.262632
      -0.171483       -1.50407       -1.38831
      -0.126506       -1.57093       -1.42372
        1.51453      0.0589543       0.808322
      -0.368253       -1.27608       -1.28925
      0.0306945       0.871256       0.769877
      -0.149726      -0.127517      -0.185296
       0.983281    -0.00794979       0.484756
      -0.432586       0.459375       0.181537
      -0.584821     -0.0522599      -0.337669
      -0.127846       -1.00312      -0.932653
        1.41966      -0.687795       0.114182
        0.24827       0.741354       0.766167
      -0.704493      -0.610632      -0.881069
          1.151       -2.56207       -1.64332
        1.81503      -0.377502       0.580586
       -0.84942       0.208709      -0.243962
        1.32445       -1.47448      -0.614709
        1.16719      -0.960484       -0.24821
        1.01566       0.990315        1.36547
     -0.0890962         1.5975        1.33892
     -0.0821409       0.267547       0.190632
      -0.568668        1.06281       0.636086
     -0.0626403      -0.591776      -0.543814
      -0.503789       0.226961     -0.0553405
       0.450628       0.938553        1.03812
      -0.502095        1.77395        1.28523
       0.950093        1.04078        1.37639
       -0.93429      -0.736686       -1.10513
        1.82362      -0.325351        0.63005
       -0.33775        2.05931        1.61454
       0.246156       0.421624       0.488215
      -0.787764      -0.373851      -0.717646
       0.884862       0.180534       0.598778
       -0.38751      -0.314101      -0.465775
      -0.248331        -1.3874       -1.32569
       -1.28537       -1.29715       -1.76605
      -0.916308       -1.08416       -1.39706
        -1.3623      -0.383016       -1.01285
       0.527725       0.947178        1.08414
      -0.396654       0.660181       0.373406
       -1.24964       0.472404      -0.215706
       -1.19639      -0.712546       -1.21528
      -0.314504       0.603737       0.365599
       0.954706       -1.12765      -0.499218
       -1.40579       -0.54734       -1.17691
       0.435944       0.522128       0.670148
      -0.564152       0.385673      0.0519263

Output Statistics: 
X Mean is -0.0534709
X Variance is 1.04217
Y Mean is -0.032521
Y Variance is 1.06509
Z Mean is -0.0548994
Z Variance is 1.05995
Covariance(X,Z) is 0.521675
Correlation coefficient is 0.49635
