Strike,BidVolP,AskVolP,BidVolC,AskVolC
1.8,0.353049,0.366263,0.389832,0.425169
1.85,0.350364,0.358572,0.368657,0.416072
1.9,0.337619,0.354682,0.360722,0.367726
1.95,0.35424,0.361028,0.353853,0.371107
2,0.338774,0.358651,0.368631,0.384328
2.05,0.326855,0.377412,0.3745,0.380784
2.1,0.287645,0.399887,0.400635,0.410913
2.15,-nan,0.551524,0.394589,0.405477
2.2,-nan,0.653897,0.408128,0.422962
2.25,-nan,1.62611,0.431686,0.447905
2.3,-nan,1.7331,0.46374,0.496898
2.35,-nan,0.8823,0.499075,0.528882
2.4,-nan,1.16104,0.524942,0.565271
2.45,-nan,2.03383,0.571004,0.614184
2.5,4.97803,2.04833,0.615715,0.66162
2.55,-nan,2.08065,0.659172,0.707688
2.6,-nan,2.22172,0.701459,0.729669
